node	function
cpoB	3,3.1,3.1.3,3.1.3.3
cpsB	1,1.1,1.1.1
cpsB	1,1.6,1.6.2
cpsB	1,1.7,1.7.10
cpsB	5,5.5,5.5.5
cpsB	6,6.7
cpsG	1,1.6,1.6.2
cpsG	1,1.7,1.7.10
cpsG	5,5.5,5.5.5
cpsG	6,6.3
cpsG	6,6.7
cpxA	1,1.2,1.2.3
cpxA	2,2.3,2.3.3
cpxA	3,3.1,3.1.2,3.1.2.4,3.1.2.4.3
cpxA	3,3.1,3.1.3,3.1.3.2
cpxA	5,5.6,5.6.2
cpxA	6,6.1
cpxP	2,2.2,2.2.2
cpxP	2,2.3,2.3.4
cpxP	3,3.1,3.1.2,3.1.2.4,3.1.2.4.3
cpxP	5,5.5,5.5.4
cpxP	5,5.5,5.5.6
cpxQ	3,3.1,3.1.3
cpxR	1,1.2,1.2.3
cpxR	2,2.2,2.2.2
cpxR	3,3.1,3.1.2,3.1.2.2
cpxR	3,3.1,3.1.2,3.1.2.3
cpxR	3,3.1,3.1.2,3.1.2.4,3.1.2.4.3
cpxR	5,5.6,5.6.2
cra	1,1.3,1.3.1
cra	2,2.2,2.2.2
cra	3,3.1,3.1.2,3.1.2.2
cra	3,3.1,3.1.2,3.1.2.3
cra	3,3.3,3.3.2
crcB	5,5.6
creB	2,2.2,2.2.2
creB	3,3.1,3.1.2,3.1.2.2
creB	3,3.1,3.1.2,3.1.2.4,3.1.2.4.3
creB	3,3.3,3.3.1
creC	2,2.3,2.3.3
creC	3,3.1,3.1.2,3.1.2.4,3.1.2.4.3
creC	3,3.1,3.1.3,3.1.3.2
creC	6,6.1
creD	6,6.1
crfC	5,5.2
crl	2,2.2,2.2.2
crp	2,2.2,2.2.2
crp	3,3.1,3.1.2,3.1.2.2
crp	3,3.1,3.1.2,3.1.2.3
crp	3,3.3,3.3.4
crr	1,1.1,1.1.1
crr	4,4.4,4.4.A
csdA	1,1.7,1.7.13
csdA	1,1.8,1.8.2
csdE	1,1.8,1.8.2
csgA	1,1.6,1.6.13
csgA	5,5.10
csgB	1,1.6,1.6.11
csgB	6,6.5
csgC	1,1.6,1.6.13
csgC	5,5.10
csgD	2,2.2,2.2.2
csgD	3,3.1,3.1.2,3.1.2.2
csgD	3,3.1,3.1.2,3.1.2.3
csgE	4,4.8.A
csgF	4,4.9.B
csgF	6,6.1
csgG	4,4.1
cspA	2,2.2,2.2.2
cspA	3,3.1,3.1.2,3.1.2.2
cspA	3,3.3,3.3.1
cspA	5,5.5,5.5.2
cspB	8,8.1
cspC	2,2.2,2.2.2
cspC	3,3.1,3.1.2
cspC	5,5.5
cspD	2,2.1,2.1.1
cspD	3,3.1,3.1.1
cspE	3,3.1,3.1.2
cspF	8,8.1
cspG	5,5.5,5.5.2
cspI	5,5.5,5.5.2
cspI	8,8.1
csqR	2,2.2,2.2.2
