source	target
GO:0051536	GO:0051537
GO:0016724	GO:0004322
GO:0097577	GO:0006880
GO:0051651	GO:0006880
GO:0048037	GO:0020037
GO:0046906	GO:0020037
GO:0004553	GO:0015926
GO:0003676	GO:0003723
GO:0022857	GO:0015144
GO:0022829	GO:0015288
GO:0008643	GO:0015774
GO:0031224	GO:0031230
GO:0044462	GO:0031230
GO:0098796	GO:0046930
GO:0009628	GO:0009314
GO:0000272	GO:0009251
GO:0044042	GO:0009251
GO:0004553	GO:0102483
GO:0010038	GO:0046688
GO:0008483	GO:0004015
GO:0018130	GO:0009102
GO:0042364	GO:0009102
GO:0006768	GO:0009102
GO:0009108	GO:0009102
GO:0043604	GO:0009102
GO:1901566	GO:0009102
GO:0072330	GO:0009102
GO:0044272	GO:0009102
GO:1901362	GO:0009102
GO:0070283	GO:0004076
GO:0016783	GO:0004076
GO:0008171	GO:0010340
GO:0016882	GO:0004141
GO:0016747	GO:0008710
GO:0016788	GO:0052689
GO:0052689	GO:0090499
GO:1901682	GO:0015225
